,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,CASH_OUT,56953.9,C1570470538,1942.02,0,C824009085,70253,64106.18,0,0
1,CASH_OUT,5346.89,C512549200,0,0,C248609774,652637,6453431,0,0
1,PAYMENT,2204.04,C1615801298,586,0,M490391704,0,0,0,0
1,PAYMENT,2641.47,C460570271,23053,20411.53,M1653361344,0,0,0,0
1,CASH_OUT,23261.3,C2072313080,20411.53,0,C2001112025,25742,0,0,0
1,PAYMENT,2330.64,C816944408,203543,201212.4,M909132503,0,0,0,0
1,PAYMENT,1614.64,C912966811,41276,39661.36,M1792384402,0,0,0,0
1,PAYMENT,9164.71,C1458621573,47235.77,38071.06,M1658980982,0,0,0,0
1,PAYMENT,2970.97,C46941357,38071.06,35100.09,M1152606315,0,0,0,0
1,PAYMENT,38.66,C343345308,16174,16135.34,M1714688478,0,0,0,0
1,PAYMENT,2252.44,C104716441,1627,0,M1506951181,0,0,0,0
1,TRANSFER,62610.8,C1976401987,79114,16503.2,C1937962514,517,8383.29,0,0
1,DEBIT,5529.13,C867288517,8547,3017.87,C242131142,10206,0,0,0
1,CASH_OUT,82940.31,C1528834618,3017.87,0,C476800120,132372,49864.36,0,0
1,DEBIT,4510.22,C280615803,10256,5745.78,C1254526270,10697,0,0,0
1,DEBIT,8727.74,C166694583,882770,874042.3,C1129670968,12636,0,0,0
1,PAYMENT,2599.46,C885910946,874042.3,871442.8,M1860591867,0,0,0,0
1,DEBIT,4874.49,C811207775,153,0,C1971489295,253104,0,0,0
1,PAYMENT,6440.78,C1161148117,2192,0,M516875052,0,0,0,0
1,PAYMENT,4910.14,C1131592118,41551,36640.86,M589987187,0,0,0,0
1,PAYMENT,6444.64,C1262609629,12019,5574.36,M587180314,0,0,0,0
1,DEBIT,5149.66,C1955990522,4782,0,C1330106945,52752,24044.18,0,0
1,PAYMENT,7292.16,C69673470,216827,209534.8,M1082411691,0,0,0,0
1,CASH_OUT,47458.86,C527211736,209534.8,162076,C2096057945,52120,0,0,0
1,CASH_OUT,136872.9,C1533123860,162076,25203.05,C766572210,217806,0,0,0
1,CASH_OUT,94253.33,C1718906711,25203.05,0,C977993101,99773,965870.1,0,0
1,PAYMENT,2998.04,C71802912,12030,9031.96,M2134271532,0,0,0,0
1,PAYMENT,3454.08,C686349795,9031.96,5577.88,M1831010686,0,0,0,0
1,PAYMENT,4316.2,C1423768154,10999,6682.8,M404222443,0,0,0,0
1,PAYMENT,2131.84,C1987977423,224,0,M61073295,0,0,0,0
1,PAYMENT,12986.61,C807322507,23350,10363.39,M396485834,0,0,0,0
1,TRANSFER,42712.39,C283039401,10363.39,0,C1330106945,57901.66,24044.18,0,0
1,TRANSFER,77957.68,C207471778,0,0,C1761291320,94900,22233.65,0,0
1,TRANSFER,17231.46,C1243171897,0,0,C783286238,24672,0,0,0
1,TRANSFER,78766.03,C1376151044,0,0,C1749186397,103772,277515.1,0,0
1,TRANSFER,224606.6,C873175411,0,0,C766572210,354678.9,0,0,0
1,TRANSFER,125872.5,C1443967876,0,0,C392292416,348512,3420103,0,0
1,TRANSFER,379856.2,C1449772539,0,0,C1590550415,900180,1.92E+07,0,0
1,TRANSFER,1505626,C926859124,0,0,C665576141,29031,5515763,0,0
1,TRANSFER,554027,C1603696865,0,0,C766572210,579285.6,0,0,0
1,TRANSFER,147543.1,C12905860,0,0,C1359044626,223220,16518.36,0,0
1,TRANSFER,761507.4,C412788346,0,0,C1590550415,1280036,1.92E+07,0,0
1,TRANSFER,1429051,C1520267010,0,0,C1590550415,2041544,1.92E+07,0,0
1,TRANSFER,358831.9,C908084672,0,0,C392292416,474384.5,3420103,0,0
1,TRANSFER,367768.4,C288306765,0,0,C1359044626,370763.1,16518.36,0,0
1,TRANSFER,209711.1,C1556867940,0,0,C1509514333,399214.7,2415.16,0,0
1,TRANSFER,583848.5,C1839168128,0,0,C1286084959,667778,2107778,0,0
1,TRANSFER,1724887,C1495608502,0,0,C1590550415,3470595,1.92E+07,0,0
1,TRANSFER,710544.8,C835773569,0,0,C1359044626,738531.5,16518.36,0,0
1,TRANSFER,581294.3,C843299092,0,0,C1590550415,5195482,1.92E+07,0,0
1,TRANSFER,11996.58,C605982374,0,0,C1225616405,40255,0,0,0
1,PAYMENT,2875.1,C1412322831,15443,12567.9,M1651262695,0,0,0,0
1,PAYMENT,8586.98,C1305004711,3763,0,M494077446,0,0,0,0
1,PAYMENT,871.75,C1003206025,19869,18997.25,M989889899,0,0,0,0
1,PAYMENT,1035.36,C806813022,71636,70600.64,M902860396,0,0,0,0
1,PAYMENT,1063.53,C1406206626,83084,82020.47,M1816522350,0,0,0,0
1,PAYMENT,1019.9,C1799230133,204237,203217.1,M1521238608,0,0,0,0
1,PAYMENT,4059.38,C20156341,26304,22244.62,M1111897955,0,0,0,0
1,PAYMENT,1876.44,C1509309988,182,0,M1643141512,0,0,0,0
1,CASH_OUT,28404.6,C2091072548,0,0,C1282788025,51744,0,0,0
1,CASH_OUT,75405.1,C263053820,0,0,C1870252780,104209,46462.23,0,0
1,CASH_OUT,50101.88,C1740826931,0,0,C97730845,67684,9940339,0,0
1,CASH_OUT,14121.82,C69062746,0,0,C100555887,52679,10963.66,0,0
1,CASH_OUT,78292.91,C1631227617,0,0,C1983747920,121112,95508.95,0,0
1,CASH_OUT,176149.9,C24650043,0,0,C736709391,259813,46820.71,0,0
1,CASH_OUT,212228.4,C1896074070,0,0,C401424608,429747,1178808,0,0
1,CASH_OUT,85423.63,C460741164,0,0,C1590550415,5776776,1.92E+07,0,0
1,CASH_OUT,11648.5,C781091365,0,0,C985934102,260976,971418.9,0,0
1,PAYMENT,6165.58,C1858015030,20925,14759.42,M25764044,0,0,0,0
1,PAYMENT,3705.83,C671596011,41903.46,38197.63,M1925352804,0,0,0,0
1,CASH_OUT,419801.4,C1687354037,38197.63,0,C33524623,499962,1517262,0,0
1,CASH_OUT,335416.5,C743778731,144478,0,C575335780,295,52415.15,0,0
1,PAYMENT,3372.29,C967323951,41398,38025.71,M1600594643,0,0,0,0
1,PAYMENT,661.43,C743648472,14078,13416.57,M692998280,0,0,0,0
1,DEBIT,864.68,C1368862151,69836,68971.32,C20671747,12040,43691.09,0,0
1,PAYMENT,1203.44,C922807452,29941,28737.56,M33563464,0,0,0,0
1,TRANSFER,330757,C1494346128,103657,0,C564160838,79676,1254956,0,0
1,PAYMENT,1915.43,C822087264,11450,9534.57,M30699728,0,0,0,0
1,PAYMENT,8.73,C38603201,81313,81304.27,M1422273905,0,0,0,0
1,DEBIT,3058.8,C1694784135,18138,15079.2,C801197928,11054,8917.54,0,0
1,PAYMENT,5154.97,C1207231495,9476,4321.03,M756936249,0,0,0,0
1,PAYMENT,5213.25,C1221981006,36380,31166.75,M264394929,0,0,0,0
1,PAYMENT,5392.75,C1878413714,50757,45364.25,M769132147,0,0,0,0
1,PAYMENT,25.12,C1257299717,61663,61637.88,M1474957626,0,0,0,0
1,PAYMENT,17150.89,C181252244,61637.88,44486.99,M1733022752,0,0,0,0
1,TRANSFER,679502.2,C722417467,290,0,C451111351,171866,3940085,0,0
1,TRANSFER,177652.9,C753631393,23720,0,C716157500,55,4894.45,0,0
1,PAYMENT,5443.26,C1262869688,236997,231553.7,M1914108708,0,0,0,0
1,PAYMENT,244.87,C544386226,257978.5,257733.6,M1357700757,0,0,0,0
1,PAYMENT,8281.57,C900298796,257733.6,249452.1,M1889757798,0,0,0,0
1,PAYMENT,1175.59,C1166106620,20509,19333.41,M1932470703,0,0,0,0
1,PAYMENT,1097.74,C221861886,24866,23768.26,M1713568869,0,0,0,0
1,TRANSFER,184986.8,C697508322,39588,0,C1688019098,52340,97263.78,0,0
1,PAYMENT,1718.29,C603658030,117811,116092.7,M1689924104,0,0,0,0
1,PAYMENT,3671.32,C361380654,100094,96422.68,M631673932,0,0,0,0
1,DEBIT,3580.26,C1579132337,2565,0,C1321640594,21185,18910.85,0,0
1,PAYMENT,8550.9,C1795225096,40060,31509.1,M790094605,0,0,0,0
1,PAYMENT,9753.55,C1048712791,60829,51075.45,M487792155,0,0,0,0
1,PAYMENT,3026.98,C1909398279,31139,28112.02,M1632670136,0,0,0,0
1,CASH_OUT,467177,C1338905451,28112.02,0,C1170794006,975121,22190.99,0,0
1,DEBIT,3875.99,C1252540239,259138,255262,C1509514333,608925.8,2415.16,0,0
1,PAYMENT,2148.89,C1136005694,31213,29064.11,M638486177,0,0,0,0
1,PAYMENT,466.97,C426019904,80030,79563.03,M314411620,0,0,0,0
1,CASH_OUT,154139.7,C1642679791,79563.03,0,C564160838,410433,1254956,0,0
1,CASH_OUT,82685.93,C855700733,0,0,C392292416,833216.4,3420103,0,0
1,CASH_OUT,83857.23,C247162961,0,0,C1297685781,215457.6,16997.22,0,0
1,CASH_OUT,99109.77,C1890266440,0,0,C1297685781,299314.8,16997.22,0,0
1,CASH_OUT,187726.7,C1527152775,0,0,C747464370,190573,1567435,0,0
1,CASH_OUT,281339.9,C1863655430,0,0,C1509514333,612801.8,2415.16,0,0
1,CASH_OUT,186447.5,C976827477,0,0,C1590550415,5862200,1.92E+07,0,0
1,CASH_OUT,81029.86,C324112183,0,0,C288665596,105343,8496.61,0,0
1,CASH_OUT,139055,C2092709730,0,0,C1749186397,182538,277515.1,0,0
1,CASH_OUT,154716.2,C980364771,0,0,C453211571,187433,3461666,0,0
1,CASH_OUT,53631.83,C1233595751,0,0,C757108857,83244,0,0,0
1,CASH_OUT,289645.5,C1446001495,0,0,C1023714065,871442.8,1412484,0,0
1,CASH_OUT,267148.8,C1261044180,0,0,C401424608,641975.4,1178808,0,0
1,CASH_OUT,47913.58,C141110631,0,0,C240650537,51304,0,0,0
1,CASH_OUT,193605.4,C2029372696,0,0,C1971489295,249452.1,0,0,0
1,CASH_OUT,344464.4,C793293778,0,0,C766572210,1133313,0,0,0
1,CASH_OUT,169409.9,C888611662,0,0,C401424608,909124.2,1178808,0,0
1,CASH_OUT,25793.74,C1966355106,0,0,C476800120,215312.3,49864.36,0,0
1,CASH_OUT,114712.5,C599782425,0,0,C1209271652,145400,0,0,0
1,CASH_OUT,89038.75,C1233327519,0,0,C2083562754,189808,1186557,0,0
1,CASH_OUT,1341.58,C1155769010,0,0,C557041912,80341,557537.3,0,0
1,CASH_OUT,44443.08,C269892014,0,0,C1590550415,6048648,1.92E+07,0,0
1,CASH_OUT,34729.64,C1280641161,0,0,C1435804085,44853,96.88,0,0
1,CASH_OUT,105979.3,C489411441,0,0,C736709391,435962.9,46820.71,0,0
1,CASH_OUT,57794.61,C1141113940,0,0,C240650537,99217.58,0,0,0
1,CASH_OUT,15918.79,C1711185459,0,0,C1854778591,24553,0,0,0
1,CASH_OUT,19162.08,C25936709,0,0,C885951223,60169,215851.3,0,0
1,CASH_OUT,220691.4,C1123559518,0,0,C1590550415,6093091,1.92E+07,0,0
1,CASH_OUT,9536.54,C649769713,0,0,C1060830840,49161,130747.6,0,0
1,CASH_OUT,29784.06,C925150995,0,0,C920011586,63553,0,0,0
1,CASH_OUT,190445.5,C1760219993,0,0,C1360767589,203679,2107965,0,0
1,CASH_OUT,57279.11,C1800649922,0,0,C824009085,127206.9,64106.18,0,0
1,CASH_OUT,112086.8,C403547747,0,0,C1531333864,292728,55974.56,0,0
1,CASH_OUT,80311.89,C172215878,0,0,C434091818,87408,63112.23,0,0
1,CASH_OUT,151829.9,C873309260,0,0,C1023714065,1161088,1412484,0,0
1,CASH_OUT,26004.52,C1112456099,0,0,C1225616405,52251.58,0,0,0
1,CASH_OUT,3146.16,C923083575,0,0,C1504109395,9471,593737.4,0,0
1,CASH_OUT,296752.8,C589363823,0,0,C1531333864,404814.8,55974.56,0,0
1,CASH_OUT,191702.1,C2052457859,0,0,C985934102,272624.5,971418.9,0,0
1,CASH_OUT,365510.1,C1299327689,0,0,C564160838,564572.8,1254956,0,0
1,CASH_OUT,202332.1,C1408279755,0,0,C453211571,342149.2,3461666,0,0
1,CASH_OUT,55105.9,C2007486296,0,0,C932583850,317952.9,2719173,0,0
1,CASH_OUT,171508.6,C1033348658,0,0,C1971489295,443057.4,0,0,0
1,CASH_OUT,178439.3,C1634723627,0,0,C2083562754,278846.8,1186557,0,0
1,CASH_OUT,88834.86,C938463537,0,0,C985934102,464326.6,971418.9,0,0
1,CASH_OUT,210370.1,C2121995675,0,0,C1170794006,1442298,22190.99,0,0
1,CASH_OUT,36437.06,C2120063568,0,0,C1740000325,154606,1363369,0,0
1,CASH_OUT,82691.56,C1620409359,0,0,C248609774,657983.9,6453431,0,0
1,CASH_OUT,338767.1,C691691381,0,0,C453211571,544481.3,3461666,0,0
1,CASH_OUT,187728.6,C264978436,0,0,C1360767589,394124.5,2107965,0,0
1,CASH_OUT,271002.7,C500618423,0,0,C451111351,851368.2,3940085,0,0
1,CASH_OUT,323105.1,C1458091526,0,0,C747464370,378299.7,1567435,0,0
1,CASH_OUT,10782.94,C768776793,0,0,C796533847,100585,0,0,0
1,CASH_OUT,89962.11,C2018260103,0,0,C240650537,157012.2,0,0,0
1,CASH_OUT,101940.1,C1393828949,0,0,C357863579,105362,92307.65,0,0
1,CASH_OUT,163100.3,C1088417975,0,0,C401424608,1078534,1178808,0,0
1,CASH_OUT,136030.7,C2036775591,0,0,C757108857,136875.8,0,0,0
1,CASH_OUT,68912.23,C1620529408,0,0,C1688019098,237326.8,97263.78,0,0
1,CASH_OUT,73464.06,C307488715,0,0,C1789550256,444779,4619799,0,0
1,CASH_OUT,106117.3,C758572926,0,0,C476402209,234216.9,51513.44,0,0
1,CASH_OUT,503333.8,C1640612861,0,0,C985934102,553161.4,971418.9,0,0
1,CASH_OUT,71991.42,C990679445,0,0,C557041912,81682.58,557537.3,0,0
1,CASH_OUT,91379.93,C913065088,0,0,C401424608,1241634,1178808,0,0
1,CASH_OUT,26759.05,C746280996,0,0,C1360767589,581853.1,2107965,0,0
1,CASH_OUT,128487.4,C50503805,0,0,C747464370,701404.8,1567435,0,0
1,CASH_OUT,252908.9,C1557989809,0,0,C33524623,919763.4,1517262,0,0
1,CASH_OUT,64489.64,C146874094,0,0,C1297685781,398424.6,16997.22,0,0
1,CASH_OUT,171369.7,C2123222442,0,0,C451111351,1122371,3940085,0,0
1,PAYMENT,4493.29,C1746570062,8258,3764.71,M1555990397,0,0,0,0
1,PAYMENT,12121.5,C1544078442,97058,84936.5,M1291367132,0,0,0,0
1,PAYMENT,2278.19,C1887699190,290,0,M1479140596,0,0,0,0
1,PAYMENT,7707.44,C1108889615,99827,92119.56,M1275028674,0,0,0,0
1,PAYMENT,4013.02,C455888635,92119.56,88106.55,M204805934,0,0,0,0
1,PAYMENT,5775.15,C204322447,132329,126553.9,M1019484860,0,0,0,0
1,PAYMENT,4843.93,C1164365897,51718,46874.07,M1640899500,0,0,0,0
1,PAYMENT,2397.82,C3565780,20421,18023.18,M473666452,0,0,0,0
1,PAYMENT,4391.44,C1865219266,228,0,M2138005960,0,0,0,0
1,DEBIT,4497.87,C1278002745,107388,102890.1,C510113906,19053,5417.23,0,0
1,PAYMENT,7452.89,C214649627,102397,94944.11,M67730604,0,0,0,0
1,PAYMENT,3930.81,C15477956,6032,2101.19,M710623214,0,0,0,0
1,CASH_OUT,71532.24,C2082351661,2101.19,0,C1810132623,74956,97128.19,0,0
1,CASH_OUT,61159.51,C859690270,0,0,C476402209,340334.2,51513.44,0,0
1,CASH_OUT,12401.9,C1389774257,0,0,C1096283470,349763,0,0,0
1,CASH_OUT,32702.61,C553759818,0,0,C75457651,253053,31469.78,0,0
1,PAYMENT,6926.67,C751021317,152927,146000.3,M1896552614,0,0,0,0
1,PAYMENT,893.57,C294658299,10676,9782.43,M1033856359,0,0,0,0
1,TRANSFER,480222.5,C201677908,11110,0,C451111351,1293741,3940085,0,0
1,PAYMENT,3608.41,C635611994,11150,7541.59,M904253669,0,0,0,0
1,PAYMENT,5946.79,C1930903395,7541.59,1594.8,M1431710377,0,0,0,0
1,PAYMENT,6099.96,C1700721442,42133,36033.04,M2116511124,0,0,0,0
1,PAYMENT,372.34,C872522004,65254,64881.66,M1348916831,0,0,0,0
1,PAYMENT,4635.18,C1110698130,6313782,6309147,M125644421,0,0,0,0
1,PAYMENT,1267.97,C1053632127,6309147,6307879,M1493158871,0,0,0,0
1,PAYMENT,6911.99,C89509666,6307879,6300967,M1806880779,0,0,0,0
1,PAYMENT,1795.67,C1016856028,6300967,6299171,M446445803,0,0,0,0
1,PAYMENT,3199.06,C832292933,6299171,6295972,M1280603381,0,0,0,0
1,PAYMENT,10265.17,C792855998,6295972,6285707,M1424108509,0,0,0,0
1,PAYMENT,9029.12,C1003755748,25480,16450.88,M1414013111,0,0,0,0
1,PAYMENT,7600.57,C1805164661,50747,43146.43,M778162712,0,0,0,0
1,PAYMENT,2057.71,C896138248,25132,23074.29,M548482954,0,0,0,0
1,PAYMENT,3823.08,C243575009,10382,6558.92,M777341499,0,0,0,0
1,TRANSFER,2806,C1420196421,2806,0,C972765878,0,0,1,0
1,CASH_OUT,2806,C2101527076,2806,0,C1007251739,26202,0,1,0
1,PAYMENT,6737.2,C1454026445,624,0,M1378497201,0,0,0,0
1,PAYMENT,9161.98,C892931811,11128,1966.02,M1577167234,0,0,0,0
1,PAYMENT,1239.06,C1574873161,396386,395146.9,M1591916281,0,0,0,0
1,PAYMENT,365,C600958416,319,0,M1884231057,0,0,0,0
1,PAYMENT,5237.54,C1492875057,27105,21867.46,M333793193,0,0,0,0
1,PAYMENT,2618.76,C1068945248,21867.46,19248.7,M937277082,0,0,0,0
1,PAYMENT,339.82,C882646447,12076,11736.18,M234740890,0,0,0,0
1,DEBIT,1393.46,C79290250,100068,98674.54,C1076835071,26446,318637.4,0,0
1,PAYMENT,2731.37,C1586151649,17540,14808.63,M179294202,0,0,0,0
1,PAYMENT,8364.73,C1767230265,81,0,M593103894,0,0,0,0
1,PAYMENT,6598.71,C727666004,16392,9793.29,M1601935322,0,0,0,0
1,PAYMENT,4304.58,C414225167,10708,6403.42,M1803093683,0,0,0,0
1,PAYMENT,2867.14,C975033189,943,0,M962287291,0,0,0,0
1,PAYMENT,2946.38,C628064884,0,0,M109069556,0,0,0,0
1,PAYMENT,507.12,C1389509050,87005,86497.88,M828326869,0,0,0,0
1,PAYMENT,3020.86,C1761217448,50361,47340.14,M1817789863,0,0,0,0
1,PAYMENT,8948.03,C788905599,11137,2188.97,M1678709153,0,0,0,0
1,CASH_OUT,280877.9,C1544614339,2188.97,0,C1297685781,462914.2,16997.22,0,0
1,PAYMENT,1084.9,C2059592603,13727,12642.1,M2016828666,0,0,0,0
1,PAYMENT,9456.69,C1688782916,12642.1,3185.41,M1064154107,0,0,0,0
1,PAYMENT,5812.36,C1390301622,3185.41,0,M415565467,0,0,0,0
1,TRANSFER,157883.1,C973936431,46547,0,C1335050193,72793,353532.6,0,0
1,PAYMENT,2734.77,C1756207614,4511,1776.23,M1214133948,0,0,0,0
1,CASH_OUT,102153.9,C2015301874,1776.23,0,C1335050193,230676.1,353532.6,0,0
1,PAYMENT,584.52,C712627377,15479,14894.48,M782228073,0,0,0,0
1,PAYMENT,6113.14,C399373008,15629,9515.86,M391506011,0,0,0,0
1,CASH_OUT,369989.2,C1936550492,9515.86,0,C1789550256,518243.1,4619799,0,0
1,CASH_OUT,215338.3,C594651850,0,0,C75457651,285755.6,31469.78,0,0
1,CASH_OUT,65521.42,C1532139270,0,0,C920011586,93337.06,0,0,0
1,CASH_OUT,116977.6,C1677568775,0,0,C1740000325,191043.1,1363369,0,0
1,CASH_OUT,262392.4,C2069500590,0,0,C2083562754,457286,1186557,0,0
1,CASH_OUT,51121.05,C1431556341,0,0,C1740000325,308020.6,1363369,0,0
1,CASH_OUT,202624.6,C452364286,0,0,C985934102,1056495,971418.9,0,0
1,CASH_OUT,118235.2,C350069300,0,0,C1335050193,332829.9,353532.6,0,0
1,CASH_OUT,118056.7,C1060703587,0,0,C757108857,272906.5,0,0,0
1,CASH_OUT,498960.9,C1957078537,0,0,C1360767589,608612.2,2107965,0,0
1,CASH_OUT,691738.4,C1514214932,0,0,C1590550415,6285707,1.92E+07,0,0
1,CASH_OUT,58820.08,C594858858,0,0,C1360767589,1107573,2107965,0,0
1,PAYMENT,4419.04,C1423016050,52951,48531.96,M352776719,0,0,0,0
1,PAYMENT,4270.02,C1202042637,9516,5245.98,M1112527632,0,0,0,0
1,PAYMENT,3007.83,C440736059,49905,46897.17,M955324150,0,0,0,0
1,PAYMENT,1824.59,C1384563514,25138,23313.41,M1852661033,0,0,0,0
1,PAYMENT,993.46,C1548946718,19448,18454.54,M1814423236,0,0,0,0
1,CASH_OUT,302693.1,C140404585,18454.54,0,C1688019098,306239,97263.78,0,0
1,PAYMENT,1445.06,C207546206,10892,9446.94,M1218519094,0,0,0,0
1,PAYMENT,4059.25,C200404000,4186,126.75,M1894758168,0,0,0,0
1,PAYMENT,3417.18,C191945292,126.75,0,M1242688388,0,0,0,0
1,DEBIT,3428.95,C1317375498,147798,144369.1,C665576141,1534657,5515763,0,0
1,PAYMENT,5580.98,C1130346421,7781,2200.02,M1316005672,0,0,0,0
1,DEBIT,3455.85,C192428201,3509,53.15,C401424608,1333014,1178808,0,0
1,PAYMENT,7265.63,C1768882706,14508,7242.37,M1463022229,0,0,0,0
1,PAYMENT,3852.64,C472991420,1449076,1445224,M1455855843,0,0,0,0
1,PAYMENT,7870.29,C1202220987,1445224,1437353,M256346753,0,0,0,0
1,DEBIT,12872.92,C425015667,11197,0,C466505482,51885,0,0,0
1,PAYMENT,6675.34,C2075568954,10107,3431.66,M2145896000,0,0,0,0
1,CASH_OUT,410201.9,C1279740095,21448,0,C1750905143,61613,424250.5,0,0
1,PAYMENT,13310.78,C2095677157,0,0,M852026681,0,0,0,0
1,PAYMENT,664.35,C1943855334,102983,102318.7,M94919826,0,0,0,0
1,PAYMENT,2130.3,C847320212,10958,8827.7,M1201004240,0,0,0,0
1,PAYMENT,7771.4,C1406848276,8827.7,1056.3,M349259569,0,0,0,0
1,PAYMENT,36349.35,C785306763,1056.3,0,M1204088028,0,0,0,0
1,PAYMENT,749.34,C1123236701,0,0,M1552221437,0,0,0,0
1,PAYMENT,2340.34,C79161706,0,0,M1685407532,0,0,0,0
1,PAYMENT,9686.85,C1057468716,0,0,M1272051933,0,0,0,0
1,PAYMENT,15785.85,C1888924788,0,0,M1041547629,0,0,0,0
1,PAYMENT,9006.78,C1016633682,0,0,M2018220300,0,0,0,0
1,PAYMENT,9014.95,C1027319653,0,0,M633079302,0,0,0,0
1,PAYMENT,14420.66,C1561745898,0,0,M2033268925,0,0,0,0
1,PAYMENT,4802.31,C424786033,0,0,M1545077099,0,0,0,0
1,PAYMENT,28527.44,C867093003,0,0,M1135278099,0,0,0,0
1,PAYMENT,4182.93,C1470911015,0,0,M1268974304,0,0,0,0
1,PAYMENT,4088.21,C244872973,0,0,M451312813,0,0,0,0
1,PAYMENT,8491.9,C795748540,0,0,M2081000371,0,0,0,0
1,DEBIT,6666.78,C837073696,11876,5209.22,C655381473,24777,189534.7,0,0
1,PAYMENT,6536.86,C416201381,17319,10782.14,M1178290888,0,0,0,0
1,CASH_OUT,40684.97,C1985938863,10782.14,0,C1291286504,49530,66575.5,0,0
1,PAYMENT,1553.21,C1660325375,31516,29962.79,M251664534,0,0,0,0
1,DEBIT,7344.92,C334593716,0,0,C485041780,185432,0,0,0
1,CASH_OUT,106267.2,C487416600,0,0,C476800120,241106.1,49864.36,0,0
1,PAYMENT,5491.5,C1271041075,36605,31113.5,M1141500277,0,0,0,0
1,PAYMENT,3666.42,C1544895390,48117,44450.58,M712410791,0,0,0,0
1,PAYMENT,5507.18,C1971991758,36030,30522.82,M2126723403,0,0,0,0
1,DEBIT,4565.14,C201274566,30265,25699.86,C747464370,829892.1,1567435,0,0
